Number	Northing	Easting	Elevation	Raw Desc	Latitude	Longitude
10265	2113130.360030	6763542.24304	0.00	A1 R2 P65	38.96249385140	-121.29000940000
10266	2113130.338510	6763545.57634	0.00	A1 R2 P66	38.96249372080	-121.28999767800
10267	2113130.316610	6763548.90961	0.00	A1 R2 P67	38.96249358910	-121.28998595600
10268	2113130.295150	6763552.24286	0.00	A1 R2 P68	38.96249345870	-121.28997423400
10269	2113130.273290	6763555.57628	0.00	A1 R2 P69	38.96249332720	-121.28996251100
10270	2113130.251670	6763558.90968	0.00	A1 R2 P70	38.96249319630	-121.28995078800
10208	2113131.596180	6763352.24696	0.00	A1 R2 P8	38.96250131930	-121.29067756200
10271	2113130.229870	6763562.24276	0.00	A1 R2 P71	38.96249306490	-121.28993906700
10272	2113130.208360	6763565.57586	0.00	A1 R2 P72	38.96249293440	-121.28992734500
10273	2113130.186540	6763568.90929	0.00	A1 R2 P73	38.96249280290	-121.28991562300
10274	2113130.164890	6763572.24268	0.00	A1 R2 P74	38.96249267200	-121.28990390000
10275	2113130.143190	6763575.57582	0.00	A1 R2 P75	38.96249254090	-121.28989217800
10276	2113130.121570	6763578.90894	0.00	A1 R2 P76	38.96249241000	-121.28988045700
10277	2113130.099780	6763582.24229	0.00	A1 R2 P77	38.96249227860	-121.28986873400
10278	2113130.078180	6763585.57554	0.00	A1 R2 P78	38.96249214780	-121.28985701200
10279	2113130.056410	6763588.90869	0.00	A1 R2 P79	38.96249201650	-121.28984529100
10280	2113130.034770	6763592.24193	0.00	A1 R2 P80	38.96249188560	-121.28983356800
10209	2113131.574580	6763355.58025	0.00	A1 R2 P9	38.96250118860	-121.29066584000
10281	2113130.013040	6763595.57528	0.00	A1 R2 P81	38.96249175440	-121.28982184600
10282	2113129.991430	6763598.90866	0.00	A1 R2 P82	38.96249162350	-121.28981012300
10283	2113129.969670	6763602.24180	0.00	A1 R2 P83	38.96249149230	-121.28979840200
10284	2113129.948000	6763605.57498	0.00	A1 R2 P84	38.96249136120	-121.28978668000
10285	2113129.926330	6763608.90656	0.00	A1 R2 P85	38.96249123020	-121.28977496400
10210	2113131.552790	6763358.91357	0.00	A1 R2 P10	38.96250105730	-121.29065411800
11101	2113041.752500	6763329.81660	0.00	A1 R11 P1	38.96225511340	-121.29075891400
11102	2113041.730780	6763333.14985	0.00	A1 R11 P2	38.96225498240	-121.29074719200
11111	2113041.535760	6763363.14925	0.00	A1 R11 P11	38.96225380400	-121.29064169300
11112	2113041.514000	6763366.48258	0.00	A1 R11 P12	38.96225367280	-121.29062997000
11113	2113041.492270	6763369.81578	0.00	A1 R11 P13	38.96225354170	-121.29061824800
11114	2113041.470720	6763373.14892	0.00	A1 R11 P14	38.96225341110	-121.29060652700
11115	2113041.448910	6763376.48222	0.00	A1 R11 P15	38.96225327980	-121.29059480500
11116	2113041.427270	6763379.81560	0.00	A1 R11 P16	38.96225314890	-121.29058308200
11117	2113041.405590	6763383.14881	0.00	A1 R11 P17	38.96225301790	-121.29057136000
11118	2113041.383860	6763386.48211	0.00	A1 R11 P18	38.96225288680	-121.29055963800
11119	2113041.362200	6763389.81549	0.00	A1 R11 P19	38.96225275590	-121.29054791500
11120	2113041.340580	6763393.14871	0.00	A1 R11 P20	38.96225262500	-121.29053619300
11103	2113041.709220	6763336.48315	0.00	A1 R11 P3	38.96225485170	-121.29073546900
11121	2113041.318850	6763396.48191	0.00	A1 R11 P21	38.96225249390	-121.29052447200
11122	2113041.297140	6763399.81522	0.00	A1 R11 P22	38.96225236290	-121.29051274900
11123	2113041.275510	6763403.14854	0.00	A1 R11 P23	38.96225223200	-121.29050102700
11124	2113041.253790	6763406.48173	0.00	A1 R11 P24	38.96225210090	-121.29048930500
11125	2113041.232080	6763409.81500	0.00	A1 R11 P25	38.96225196990	-121.29047758300
11126	2113041.210490	6763413.14832	0.00	A1 R11 P26	38.96225183910	-121.29046586100
11127	2113041.188740	6763416.48155	0.00	A1 R11 P27	38.96225170790	-121.29045413900
11128	2113041.167030	6763419.81473	0.00	A1 R11 P28	38.96225157690	-121.29044241700
11129	2113041.145270	6763423.14800	0.00	A1 R11 P29	38.96225144570	-121.29043069500
11130	2113041.123740	6763426.48132	0.00	A1 R11 P30	38.96225131510	-121.29041897200
11104	2113041.687540	6763339.81649	0.00	A1 R11 P4	38.96225472080	-121.29072374700
11131	2113041.101990	6763429.81463	0.00	A1 R11 P31	38.96225118390	-121.29040725000
11132	2113041.080260	6763433.14782	0.00	A1 R11 P32	38.96225105280	-121.29039552800
11133	2113041.058680	6763436.48093	0.00	A1 R11 P33	38.96225092210	-121.29038380700
11134	2113041.036870	6763439.81423	0.00	A1 R11 P34	38.96225079070	-121.29037208500
11135	2113041.015240	6763443.14763	0.00	A1 R11 P35	38.96225065980	-121.29036036200
11136	2113040.993540	6763446.48084	0.00	A1 R11 P36	38.96225052880	-121.29034864000
11137	2113040.971840	6763449.81415	0.00	A1 R11 P37	38.96225039770	-121.29033691800
11138	2113040.950160	6763453.14753	0.00	A1 R11 P38	38.96225026670	-121.29032519500
11139	2113040.928510	6763456.48074	0.00	A1 R11 P39	38.96225013580	-121.29031347300
11140	2113040.906830	6763459.81392	0.00	A1 R11 P40	38.96225000480	-121.29030175200
11105	2113041.665780	6763343.14969	0.00	A1 R11 P5	38.96225458960	-121.29071202500
11141	2113040.885070	6763463.14723	0.00	A1 R11 P41	38.96224987360	-121.29029002900
11142	2113040.863430	6763466.48056	0.00	A1 R11 P42	38.96224974270	-121.29027830700
11143	2113040.841750	6763469.81375	0.00	A1 R11 P43	38.96224961170	-121.29026658500
11144	2113040.820070	6763473.14692	0.00	A1 R11 P44	38.96224948070	-121.29025486300
11145	2113040.798270	6763476.48023	0.00	A1 R11 P45	38.96224934940	-121.29024314100
11146	2113040.776670	6763479.81356	0.00	A1 R11 P46	38.96224921860	-121.29023141900
11147	2113040.754990	6763483.14674	0.00	A1 R11 P47	38.96224908760	-121.29021969700
11148	2113040.733210	6763486.48002	0.00	A1 R11 P48	38.96224895630	-121.29020797500
11149	2113040.711670	6763489.81334	0.00	A1 R11 P49	38.96224882570	-121.29019625300
11150	2113040.689940	6763493.14665	0.00	A1 R11 P50	38.96224869450	-121.29018453000
11106	2113041.644140	6763346.48293	0.00	A1 R11 P6	38.96225445880	-121.29070030300
11151	2113040.668210	6763496.47984	0.00	A1 R11 P51	38.96224856340	-121.29017280800
11152	2113040.646610	6763499.81293	0.00	A1 R11 P52	38.96224843260	-121.29016108700
11153	2113040.624810	6763503.14623	0.00	A1 R11 P53	38.96224830120	-121.29014936500
11154	2113040.603180	6763506.47965	0.00	A1 R11 P54	38.96224817030	-121.29013764200
11155	2113040.581470	6763509.81285	0.00	A1 R11 P55	38.96224803920	-121.29012592000
11156	2113040.559770	6763513.14615	0.00	A1 R11 P56	38.96224790820	-121.29011419800
11157	2113040.538090	6763516.47954	0.00	A1 R11 P57	38.96224777710	-121.29010247500
11158	2113040.516430	6763519.81274	0.00	A1 R11 P58	38.96224764620	-121.29009075400
11159	2113040.494770	6763523.14592	0.00	A1 R11 P59	38.96224751520	-121.29007903200
11160	2113040.473000	6763526.47923	0.00	A1 R11 P60	38.96224738390	-121.29006731000
11107	2113041.622540	6763349.81625	0.00	A1 R11 P7	38.96225432800	-121.29068858100
11161	2113040.451350	6763529.81256	0.00	A1 R11 P61	38.96224725300	-121.29005558700
11162	2113040.429670	6763533.14576	0.00	A1 R11 P62	38.96224712200	-121.29004386500
11163	2113040.408020	6763536.47892	0.00	A1 R11 P63	38.96224699100	-121.29003214400
11164	2113040.386210	6763539.81223	0.00	A1 R11 P64	38.96224685960	-121.29002042100
11165	2113040.364600	6763543.14556	0.00	A1 R11 P65	38.96224672880	-121.29000869900
11166	2113040.342930	6763546.47875	0.00	A1 R11 P66	38.96224659780	-121.28999697700
11167	2113040.321140	6763549.81202	0.00	A1 R11 P67	38.96224646640	-121.28998525500
11168	2113040.299600	6763553.14534	0.00	A1 R11 P68	38.96224633580	-121.28997353300
11169	2113040.277870	6763556.47865	0.00	A1 R11 P69	38.96224620460	-121.28996181000
11170	2113040.256140	6763559.81184	0.00	A1 R11 P70	38.96224607340	-121.28995008900
11108	2113041.600760	6763353.14951	0.00	A1 R11 P8	38.96225419680	-121.29067685900
11171	2113040.234540	6763563.14492	0.00	A1 R11 P71	38.96224594260	-121.28993836700
11172	2113040.212750	6763566.47823	0.00	A1 R11 P72	38.96224581130	-121.28992664500
11173	2113040.191100	6763569.81165	0.00	A1 R11 P73	38.96224568030	-121.28991492200
11174	2113040.169390	6763573.14484	0.00	A1 R11 P74	38.96224554920	-121.28990320000
11175	2113040.147690	6763576.47815	0.00	A1 R11 P75	38.96224541810	-121.28989147800
11176	2113040.126040	6763579.81154	0.00	A1 R11 P76	38.96224528710	-121.28987975600
11177	2113040.104350	6763583.14473	0.00	A1 R11 P77	38.96224515610	-121.28986803400
11178	2113040.082700	6763586.47791	0.00	A1 R11 P78	38.96224502510	-121.28985631200
11179	2113040.060930	6763589.81121	0.00	A1 R11 P79	38.96224489380	-121.28984459000
11180	2113040.039280	6763593.14455	0.00	A1 R11 P80	38.96224476280	-121.28983286700
11109	2113041.579020	6763356.48270	0.00	A1 R11 P9	38.96225406570	-121.29066513700
11181	2113040.017600	6763596.47775	0.00	A1 R11 P81	38.96224463180	-121.28982114600
11182	2113039.995940	6763599.81090	0.00	A1 R11 P82	38.96224450080	-121.28980942400
11183	2113039.974150	6763603.14418	0.00	A1 R11 P83	38.96224436940	-121.28979770200
11184	2113039.952580	6763606.47753	0.00	A1 R11 P84	38.96224423870	-121.28978597900
11185	2113039.930930	6763609.80906	0.00	A1 R11 P85	38.96224410770	-121.28977426300
11110	2113041.557300	6763359.81592	0.00	A1 R11 P10	38.96225393460	-121.29065341500
11201	2113031.752960	6763329.91684	0.00	A1 R12 P1	38.96222765530	-121.29075883600
11202	2113031.731290	6763333.25012	0.00	A1 R12 P2	38.96222752430	-121.29074711300
11211	2113031.536180	6763363.24950	0.00	A1 R12 P11	38.96222634570	-121.29064161500
11212	2113031.514520	6763366.58277	0.00	A1 R12 P12	38.96222621480	-121.29062989200
11213	2113031.492750	6763369.91599	0.00	A1 R12 P13	38.96222608360	-121.29061817000
11214	2113031.471160	6763373.24917	0.00	A1 R12 P14	38.96222595280	-121.29060644900
11215	2113031.449460	6763376.58247	0.00	A1 R12 P15	38.96222582180	-121.29059472600
11216	2113031.427780	6763379.91587	0.00	A1 R12 P16	38.96222569080	-121.29058300400
11217	2113031.406030	6763383.24910	0.00	A1 R12 P17	38.96222555970	-121.29057128200
11218	2113031.384380	6763386.58241	0.00	A1 R12 P18	38.96222542880	-121.29055956000
11219	2113031.362740	6763389.91581	0.00	A1 R12 P19	38.96222529790	-121.29054783700
11220	2113031.341000	6763393.24905	0.00	A1 R12 P20	38.96222516680	-121.29053611500
11203	2113031.709800	6763336.58340	0.00	A1 R12 P3	38.96222739390	-121.29073539100
11221	2113031.319330	6763396.58220	0.00	A1 R12 P21	38.96222503580	-121.29052439300
11222	2113031.297810	6763399.91541	0.00	A1 R12 P22	38.96222490530	-121.29051267100
11223	2113031.275940	6763403.24869	0.00	A1 R12 P23	38.96222477380	-121.29050094900
11224	2113031.254190	6763406.58201	0.00	A1 R12 P24	38.96222464260	-121.29048922700
11225	2113031.232750	6763409.91532	0.00	A1 R12 P25	38.96222451220	-121.29047750500
11226	2113031.210990	6763413.24850	0.00	A1 R12 P26	38.96222438110	-121.29046578300
11227	2113031.189180	6763416.58169	0.00	A1 R12 P27	38.96222424970	-121.29045406100
11228	2113031.167420	6763419.91502	0.00	A1 R12 P28	38.96222411850	-121.29044233900
11229	2113031.145950	6763423.24833	0.00	A1 R12 P29	38.96222398810	-121.29043061700
11230	2113031.124120	6763426.58158	0.00	A1 R12 P30	38.96222385670	-121.29041889400
11204	2113031.687980	6763339.91666	0.00	A1 R12 P4	38.96222726250	-121.29072366900
11231	2113031.102530	6763429.91482	0.00	A1 R12 P31	38.96222372600	-121.29040717200
11232	2113031.080720	6763433.24802	0.00	A1 R12 P32	38.96222359460	-121.29039545100
11233	2113031.059090	6763436.58118	0.00	A1 R12 P33	38.96222346370	-121.29038372900
11234	2113031.037450	6763439.91449	0.00	A1 R12 P34	38.96222333290	-121.29037200700
11235	2113031.015740	6763443.24790	0.00	A1 R12 P35	38.96222320180	-121.29036028400
11236	2113030.993990	6763446.58114	0.00	A1 R12 P36	38.96222307060	-121.29034856200
11237	2113030.972370	6763449.91446	0.00	A1 R12 P37	38.96222293970	-121.29033684000
11238	2113030.950680	6763453.24784	0.00	A1 R12 P38	38.96222280870	-121.29032511700
11239	2113030.929000	6763456.58103	0.00	A1 R12 P39	38.96222267770	-121.29031339500
11240	2113030.907240	6763459.91417	0.00	A1 R12 P40	38.96222254650	-121.29030167400
11205	2113031.666200	6763343.24995	0.00	A1 R12 P5	38.96222713130	-121.29071194700
11241	2113030.885760	6763463.24741	0.00	A1 R12 P41	38.96222241610	-121.29028995200
11242	2113030.863830	6763466.58076	0.00	A1 R12 P42	38.96222228440	-121.29027822900
11243	2113030.842180	6763469.91408	0.00	A1 R12 P43	38.96222215340	-121.29026650700
11244	2113030.820530	6763473.24723	0.00	A1 R12 P44	38.96222202250	-121.29025478500
11245	2113030.798970	6763476.58041	0.00	A1 R12 P45	38.96222189180	-121.29024306300
11246	2113030.777120	6763479.91370	0.00	A1 R12 P46	38.96222176030	-121.29023134100
11247	2113030.755380	6763483.24703	0.00	A1 R12 P47	38.96222162920	-121.29021961900
11248	2113030.733900	6763486.58034	0.00	A1 R12 P48	38.96222149870	-121.29020789700
11249	2113030.712160	6763489.91351	0.00	A1 R12 P49	38.96222136750	-121.29019617500
11250	2113030.690390	6763493.24674	0.00	A1 R12 P50	38.96222123630	-121.29018445300
11206	2113031.644780	6763346.58327	0.00	A1 R12 P6	38.96222700110	-121.29070022500
11251	2113030.668660	6763496.58002	0.00	A1 R12 P51	38.96222110510	-121.29017273100
11252	2113030.647010	6763499.91318	0.00	A1 R12 P52	38.96222097420	-121.29016100900
11253	2113030.625400	6763503.24650	0.00	A1 R12 P53	38.96222084340	-121.29014928700
11254	2113030.603680	6763506.57992	0.00	A1 R12 P54	38.96222071220	-121.29013756400
11255	2113030.581960	6763509.91310	0.00	A1 R12 P55	38.96222058110	-121.29012584200
11256	2113030.560260	6763513.24642	0.00	A1 R12 P56	38.96222045000	-121.29011412000
11257	2113030.538610	6763516.57985	0.00	A1 R12 P57	38.96222031910	-121.29010239700
